terminal length 0
br-bre-cis-psa-sw01#sh mod csm 1 real

real                  server farm      weight  state          conns/hits
187.100.252.44:86     SESM_WSC80.86    8       OUTOFSERVICE   0        
187.100.252.44:8085   SESM_WSC80.86    8       OUTOFSERVICE   0        
187.100.252.45:86     SESM_WSC80.86    8       OPERATIONAL    36       
187.100.252.46:86     SESM_WSC80.86    8       OPERATIONAL    38       
187.100.252.47:86     SESM_WSC80.86    8       OUTOFSERVICE   0        
187.100.252.48:86     SESM_WSC80.86    8       OUTOFSERVICE   0        
187.100.252.49:86     SESM_WSC80.86    8       OUTOFSERVICE   0        
187.100.252.50:86     SESM_WSC80.86    8       OUTOFSERVICE   0        
187.100.252.42:8083   SESM_WCC8083     8       OPERATIONAL    0        
187.100.252.43:8083   SESM_WCC8083     8       OPERATIONAL    0        
187.100.252.44:8083   SESM_WCC8083     8       OUTOFSERVICE   0        
187.100.252.45:8083   SESM_WCC8083     8       OUTOFSERVICE   0        
187.100.252.46:8083   SESM_WCC8083     8       OUTOFSERVICE   0        
187.100.252.47:8083   SESM_WCC8083     8       OUTOFSERVICE   0        
187.100.252.48:8083   SESM_WCC8083     8       OUTOFSERVICE   0        
187.100.252.49:8083   SESM_WCC8083     8       OUTOFSERVICE   0        
187.100.252.50:8083   SESM_WCC8083     8       OUTOFSERVICE   0        
187.100.252.52:80     REDIRETORES_80   8       OPERATIONAL    0        
187.100.252.53:80     REDIRETORES_80   8       OPERATIONAL    0        
187.100.252.54:80     REDIRETORES_80   8       OPERATIONAL    0        
187.100.252.55:80     REDIRETORES_80   8       OPERATIONAL    0        
187.100.252.56:80     REDIRETORES_80   8       OPERATIONAL    0        
187.100.252.57:80     REDIRETORES_80   8       OPERATIONAL    0        
187.100.252.58:80     REDIRETORES_80   8       OPERATIONAL    0        
187.100.252.59:80     REDIRETORES_80   8       PROBE_FAILED   0        
187.100.252.60:80     REDIRETORES_80   8       OPERATIONAL    0        
br-bre-cis-psa-sw01#quit
Connection to br-bre-cis-psa-sw1 closed by remote host.
[r339054@gbrssh2:~]# 
